index,name
0,logU_-2.14_Hden_0_Zism_0.386_CN_0.05
1,logU_-2.14_Hden_0_Zism_0.386_CN_0.15
2,logU_-2.14_Hden_0_Zism_0.386_CN_0.25
3,logU_-2.14_Hden_0_Zism_0.386_CN_0.45
4,logU_-2.14_Hden_0_Zism_0.386_CN_0.65
5,logU_-2.14_Hden_0_Zism_0.386_CN_0.85
6,logU_-2.14_Hden_0_Zism_0.386_CN_1
7,logU_-2.14_Hden_0_Zism_0.461_CN_0.05
8,logU_-2.14_Hden_0_Zism_0.461_CN_0.15
9,logU_-2.14_Hden_0_Zism_0.461_CN_0.25
10,logU_-2.14_Hden_0_Zism_0.461_CN_0.45
11,logU_-2.14_Hden_0_Zism_0.461_CN_0.65
12,logU_-2.14_Hden_0_Zism_0.461_CN_0.85
13,logU_-2.14_Hden_0_Zism_0.461_CN_1
14,logU_-2.14_Hden_0_Zism_0.614_CN_0.05
15,logU_-2.14_Hden_0_Zism_0.614_CN_0.15
16,logU_-2.14_Hden_0_Zism_0.614_CN_0.25
17,logU_-2.14_Hden_0_Zism_0.614_CN_0.45
18,logU_-2.14_Hden_0_Zism_0.614_CN_0.65
19,logU_-2.14_Hden_0_Zism_0.614_CN_0.85
20,logU_-2.14_Hden_0_Zism_0.614_CN_1
21,logU_-2.14_Hden_0_Zism_0.768_CN_0.05
22,logU_-2.14_Hden_0_Zism_0.768_CN_0.15
23,logU_-2.14_Hden_0_Zism_0.768_CN_0.25
24,logU_-2.14_Hden_0_Zism_0.768_CN_0.45
25,logU_-2.14_Hden_0_Zism_0.768_CN_0.65
26,logU_-2.14_Hden_0_Zism_0.768_CN_0.85
27,logU_-2.14_Hden_0_Zism_0.768_CN_1
28,logU_-2.14_Hden_0_Zism_0.922_CN_0.05
29,logU_-2.14_Hden_0_Zism_0.922_CN_0.15
30,logU_-2.14_Hden_0_Zism_0.922_CN_0.25
31,logU_-2.14_Hden_0_Zism_0.922_CN_0.45
32,logU_-2.14_Hden_0_Zism_0.922_CN_0.65
33,logU_-2.14_Hden_0_Zism_0.922_CN_0.85
34,logU_-2.14_Hden_0_Zism_0.922_CN_1
35,logU_-2.14_Hden_0_Zism_1.075_CN_0.05
36,logU_-2.14_Hden_0_Zism_1.075_CN_0.15
37,logU_-2.14_Hden_0_Zism_1.075_CN_0.25
38,logU_-2.14_Hden_0_Zism_1.075_CN_0.45
39,logU_-2.14_Hden_0_Zism_1.075_CN_0.65
40,logU_-2.14_Hden_0_Zism_1.075_CN_0.85
41,logU_-2.14_Hden_0_Zism_1.075_CN_1
42,logU_-2.14_Hden_0_Zism_1.229_CN_0.05
43,logU_-2.14_Hden_0_Zism_1.229_CN_0.15
44,logU_-2.14_Hden_0_Zism_1.229_CN_0.25
45,logU_-2.14_Hden_0_Zism_1.229_CN_0.45
46,logU_-2.14_Hden_0_Zism_1.229_CN_0.65
47,logU_-2.14_Hden_0_Zism_1.229_CN_0.85
48,logU_-2.14_Hden_0_Zism_1.229_CN_1
49,logU_-2.14_Hden_0_Zism_1.382_CN_0.05
50,logU_-2.14_Hden_0_Zism_1.382_CN_0.15
51,logU_-2.14_Hden_0_Zism_1.382_CN_0.25
52,logU_-2.14_Hden_0_Zism_1.382_CN_0.45
53,logU_-2.14_Hden_0_Zism_1.382_CN_0.65
54,logU_-2.14_Hden_0_Zism_1.382_CN_0.85
55,logU_-2.14_Hden_0_Zism_1.382_CN_1
56,logU_-2.14_Hden_0_Zism_1.536_CN_0.05
57,logU_-2.14_Hden_0_Zism_1.536_CN_0.15
58,logU_-2.14_Hden_0_Zism_1.536_CN_0.25
59,logU_-2.14_Hden_0_Zism_1.536_CN_0.45
60,logU_-2.14_Hden_0_Zism_1.536_CN_0.65
61,logU_-2.14_Hden_0_Zism_1.536_CN_0.85
62,logU_-2.14_Hden_0_Zism_1.536_CN_1
63,logU_-2.14_Hden_1_Zism_0.386_CN_0.05
64,logU_-2.14_Hden_1_Zism_0.386_CN_0.15
65,logU_-2.14_Hden_1_Zism_0.386_CN_0.25
66,logU_-2.14_Hden_1_Zism_0.386_CN_0.45
67,logU_-2.14_Hden_1_Zism_0.386_CN_0.65
68,logU_-2.14_Hden_1_Zism_0.386_CN_0.85
69,logU_-2.14_Hden_1_Zism_0.386_CN_1
70,logU_-2.14_Hden_1_Zism_0.461_CN_0.05
71,logU_-2.14_Hden_1_Zism_0.461_CN_0.15
72,logU_-2.14_Hden_1_Zism_0.461_CN_0.25
73,logU_-2.14_Hden_1_Zism_0.461_CN_0.45
74,logU_-2.14_Hden_1_Zism_0.461_CN_0.65
75,logU_-2.14_Hden_1_Zism_0.461_CN_0.85
76,logU_-2.14_Hden_1_Zism_0.461_CN_1
77,logU_-2.14_Hden_1_Zism_0.614_CN_0.05
78,logU_-2.14_Hden_1_Zism_0.614_CN_0.15
79,logU_-2.14_Hden_1_Zism_0.614_CN_0.25
80,logU_-2.14_Hden_1_Zism_0.614_CN_0.45
81,logU_-2.14_Hden_1_Zism_0.614_CN_0.65
82,logU_-2.14_Hden_1_Zism_0.614_CN_0.85
83,logU_-2.14_Hden_1_Zism_0.614_CN_1
84,logU_-2.14_Hden_1_Zism_0.768_CN_0.05
85,logU_-2.14_Hden_1_Zism_0.768_CN_0.15
86,logU_-2.14_Hden_1_Zism_0.768_CN_0.25
